n,image_path,categoria,presentacion,genero_aparente
df_046,img/Oversized_Boucl&eacute;_Moto_Jacket/img_00000009.jpg,Jacket,persona,mujer
df_047,img/Slub_Knit_Pocket_Tee/img_00000001.jpg,Tee,persona,mujer
df_048,img/Marled_Knit_Joggers/img_00000011.jpg,Joggers,persona,mujer
df_049,img/Abstract_Print_Colorblock_Top/img_00000047.jpg,Top,persona,mujer
df_050,img/Abstract_Geo_Crop_Top/img_00000026.jpg,Top,persona,mujer
df_051,img/Polka_Dot-Pocket_Cutoffs/img_00000010.jpg,Cutoffs,persona,mujer
df_052,img/Boxy_Baseball_Tee/img_00000011.jpg,Tee,persona,mujer
df_053,img/Embroidered_Southwestern_Pattern_Jacket/img_00000033.jpg,Jacket,persona,mujer
df_054,img/Heathered_Curved-Hem_Tank/img_00000035.jpg,Tank,persona,mujer
df_055,img/Heathered_Split-Neck_Tee/img_00000008.jpg,Tee,persona,hombre
df_056,img/Southwestern_Print_Dolphin_Shorts/img_00000001.jpg,Shorts,persona,mujer
df_057,img/Lacy_Knotted_Tee/img_00000006.jpg,Tee,persona,mujer
df_058,img/Boxy_Micro-Striped_Tee/img_00000002.jpg,Tee,persona,mujer
df_059,img/Sheer_Moments_Cropped_Tank/img_00000025.jpg,Tank,persona,mujer
df_060,img/Austin_Texas_Boxy_Tee/img_00000040.jpg,Tee,persona,mujer
df_061,img/Everyday_Open-Knit_Cardigan/img_00000031.jpg,Cardigan,persona,mujer
df_062,img/Lacy_Pintucked_PJ_Shorts/img_00000035.jpg,Shorts,persona,mujer
df_063,img/Boxy_Striped_Knit_Top/img_00000019.jpg,Top,persona,mujer
df_064,img/Patch_Pocket_Denim_Tee/img_00000004.jpg,Tee,persona,mujer
df_065,img/Boxy_Baseball_Tee/img_00000027.jpg,Tee,persona,mujer
df_066,img/Diamond_Print_Bow_Shorts/img_00000007.jpg,Shorts,persona,mujer
df_067,img/Boxy_Tribal_Print_Top/img_00000029.jpg,Top,persona,mujer
df_068,img/Cozy_Abstract_Cardigan/img_00000012.jpg,Cardigan,persona,mujer
df_069,img/Statement-Making_Twerk_Tee/img_00000020.jpg,Tee,persona,mujer
df_070,img/Crochet-Paneled_Shorts/img_00000003.jpg,Shorts,persona,mujer
df_071,img/Marled_Tuxedo-Stripe_Joggers/img_00000004.jpg,Joggers,persona,mujer
df_072,img/Open-Front_Woven_Blazer/img_00000002.jpg,Blazer,persona,mujer
df_073,img/Grunge_Bleached_Denim_Cutoffs/img_00000033.jpg,Cutoffs,persona,mujer
df_074,img/Ribbed_Side-Slit_Tank/img_00000025.jpg,Tank,colgada,mujer
df_075,img/Geo_Striped_Knit_Cardigan/img_00000004.jpg,Cardigan,persona,mujer
df_076,img/Heathered_Colorblock_Sweatpants/img_00000010.jpg,Sweatpants,persona,mujer
df_077,img/Champagne_Slub_Knit_Top/img_00000008.jpg,Top,persona,mujer
df_078,img/Embroidered_Lace-Trimmed_Muscle_Tee/img_00000002.jpg,Tee,persona,mujer
df_079,img/Slub_Knit_Boyfriend_Tee/img_00000014.jpg,Tee,persona,mujer
df_080,img/Star_Wars_Graphic_Boxy_Tee/img_00000026.jpg,Tee,persona,mujer
df_081,img/L.A.T.H.C._Abstract_Print_Tee/img_00000019.jpg,Tee,plana,ambiguo
df_082,img/Crochet-Trimmed_Daisy_Print_Shorts/img_00000017.jpg,Shorts,persona,mujer
df_083,img/Geo_Tribal_Print_Muscle_Tee/img_00000023.jpg,Tee,persona,mujer
df_084,img/Abstract-Stripe_Fuzzy_Sweater/img_00000016.jpg,Sweater,persona,mujer
df_085,img/Abstract_Stripe_Joggers/img_00000019.jpg,Joggers,persona,infantil
df_086,img/Oversized_Boucl&eacute;_Moto_Jacket/img_00000022.jpg,Jacket,persona,mujer
df_087,img/Rhinestone_Beaded_Fuzzy_Sweater/img_00000022.jpg,Sweater,persona,mujer
df_088,img/High_Collar_Running_Jacket/img_00000013.jpg,Jacket,persona,mujer
df_089,img/Buttoned_Drawstring_Joggers/img_00000016.jpg,Joggers,persona,mujer
df_090,img/Flower_Power_Travel_Poncho/img_00000024.jpg,Poncho,persona,mujer
df_091,img/Eagle_Graphic_Macram&eacute;_Tank/img_00000003.jpg,Tank,persona,mujer
df_092,img/Mineral_Wash_Skinny_Jeans/img_00000024.jpg,Jeans,plana,mujer
df_093,img/Tasseled_Open-Knit_Cardigan/img_00000035.jpg,Cardigan,plana,mujer
df_094,img/Boxy_Chiffon_Top/img_00000012.jpg,Top,persona,mujer
df_095,img/Draped_Open-Front_Jacket/img_00000023.jpg,Jacket,persona,mujer
df_096,img/SpongeBob_x_Mina_Kwon_Patrick_Star_Nylon_Hoodie/img_00000008.jpg,Hoodie,persona,mujer
df_097,img/Married_To_The_Mob_Feminist_Tank/img_00000007.jpg,Tank,persona,mujer
df_098,img/Heathered_Frida_Kahlo_Tee/img_00000022.jpg,Tee,persona,mujer
df_099,img/Distressed_Bleach_Wash_Denim_Shorts/img_00000016.jpg,Shorts,plana,mujer
