n,image_path,categoria,genero_aparente
df_022,img/Rope-Drawstring_Swim_Trunks/img_00000044.jpg,Trunks,hombre
df_023,img/Tassel_Fringe_Knit_Sweater/img_00000035.jpg,Sweater,mujer
df_024,img/Varsity-Striped_Scuba_Knit_Jacket/img_00000001.jpg,Jacket,mujer
df_025,img/Distressed_Light_Wash_-_Slim_Fit_Jeans/img_00000060.jpg,Jeans,hombre
df_026,img/Clean_Wash_-_Ripped_Slim-Leg_Jeans/img_00000038.jpg,Jeans,mujer
df_027,img/Abstract_Paisley_Button-Down_Top/img_00000003.jpg,Top,mujer
df_028,img/Marled_Knit_Joggers/img_00000012.jpg,Joggers,mujer
df_029,img/Tokyo_Ringer_Tee/img_00000018.jpg,Tee,mujer
df_030,img/Classic_Ribbed_Top/img_00000008.jpg,Top,ambiguo
df_031,img/Marled_Crochet-Paneled_Sweater/img_00000016.jpg,Sweater,mujer
df_032,img/Rive_Gauche_Ringer_Tee/img_00000007.jpg,Tee,mujer
df_033,img/Life_in_Progress_Denim_Jacket/img_00000002.jpg,Jacket,mujer
df_034,img/Longline_V-Neck_Tee/img_00000019.jpg,Tee,hombre
df_035,img/Abstract_Striped_Muscle_Tee/img_00000019.jpg,Tee,mujer
df_036,img/Pintucked_High-Waisted_Shorts/img_00000042.jpg,Shorts,mujer
df_037,img/Colorblock_Performance_Shorts/img_00000018.jpg,Shorts,mujer
df_038,img/Boho_Babe_Crochet_Top/img_00000019.jpg,Top,mujer
df_039,img/Life_In_Progress_Railroad_Stripe_Jeans/img_00000013.jpg,Jeans,mujer
df_040,img/Standout_Americana_Sweater/img_00000018.jpg,Sweater,mujer
df_041,img/Distressed_Whisker_Wash_Jeans/img_00000034.jpg,Jeans,mujer
df_042,img/MYVL_Woke_Up_Muscle_Tee/img_00000002.jpg,Tee,mujer
df_043,img/Faux_Leather-Sleeve_Marled_Jacket/img_00000041.jpg,Jacket,mujer
df_044,img/Heathered_Colorblock_Pocket_Tank/img_00000017.jpg,Tank,hombre
df_045,img/Hooded_Asymmetrical_Longline_Jacket/img_00000001.jpg,Jacket,mujer
df_046,img/Oversized_Boucl&eacute;_Moto_Jacket/img_00000009.jpg,Jacket,mujer
df_047,img/Slub_Knit_Pocket_Tee/img_00000001.jpg,Tee,mujer
df_048,img/Marled_Knit_Joggers/img_00000011.jpg,Joggers,mujer
df_049,img/Abstract_Print_Colorblock_Top/img_00000047.jpg,Top,mujer
df_050,img/Abstract_Geo_Crop_Top/img_00000026.jpg,Top,mujer
df_051,img/Polka_Dot-Pocket_Cutoffs/img_00000010.jpg,Cutoffs,mujer
df_052,img/Boxy_Baseball_Tee/img_00000011.jpg,Tee,mujer
df_053,img/Embroidered_Southwestern_Pattern_Jacket/img_00000033.jpg,Jacket,mujer
df_054,img/Heathered_Curved-Hem_Tank/img_00000035.jpg,Tank,mujer
df_055,img/Heathered_Split-Neck_Tee/img_00000008.jpg,Tee,hombre
df_056,img/Southwestern_Print_Dolphin_Shorts/img_00000001.jpg,Shorts,mujer
df_057,img/Lacy_Knotted_Tee/img_00000006.jpg,Tee,mujer
df_058,img/Boxy_Micro-Striped_Tee/img_00000002.jpg,Tee,mujer
df_059,img/Sheer_Moments_Cropped_Tank/img_00000025.jpg,Tank,mujer
df_060,img/Austin_Texas_Boxy_Tee/img_00000040.jpg,Tee,mujer
df_061,img/Everyday_Open-Knit_Cardigan/img_00000031.jpg,Cardigan,mujer
df_062,img/Lacy_Pintucked_PJ_Shorts/img_00000035.jpg,Shorts,mujer
df_063,img/Boxy_Striped_Knit_Top/img_00000019.jpg,Top,mujer
df_064,img/Patch_Pocket_Denim_Tee/img_00000004.jpg,Tee,mujer
df_065,img/Boxy_Baseball_Tee/img_00000027.jpg,Tee,mujer
df_066,img/Diamond_Print_Bow_Shorts/img_00000007.jpg,Shorts,mujer
df_067,img/Boxy_Tribal_Print_Top/img_00000029.jpg,Top,mujer
df_068,img/Cozy_Abstract_Cardigan/img_00000012.jpg,Cardigan,mujer
df_069,img/Statement-Making_Twerk_Tee/img_00000020.jpg,Tee,mujer
df_070,img/Crochet-Paneled_Shorts/img_00000003.jpg,Shorts,mujer
df_071,img/Marled_Tuxedo-Stripe_Joggers/img_00000004.jpg,Joggers,mujer
df_072,img/Open-Front_Woven_Blazer/img_00000002.jpg,Blazer,mujer
df_073,img/Grunge_Bleached_Denim_Cutoffs/img_00000033.jpg,Cutoffs,mujer
df_074,img/Ribbed_Side-Slit_Tank/img_00000025.jpg,Tank,mujer
df_075,img/Geo_Striped_Knit_Cardigan/img_00000004.jpg,Cardigan,mujer
df_076,img/Heathered_Colorblock_Sweatpants/img_00000010.jpg,Sweatpants,mujer
df_077,img/Champagne_Slub_Knit_Top/img_00000008.jpg,Top,mujer
df_078,img/Embroidered_Lace-Trimmed_Muscle_Tee/img_00000002.jpg,Tee,mujer
df_079,img/Slub_Knit_Boyfriend_Tee/img_00000014.jpg,Tee,mujer
df_080,img/Star_Wars_Graphic_Boxy_Tee/img_00000026.jpg,Tee,mujer
df_081,img/L.A.T.H.C._Abstract_Print_Tee/img_00000019.jpg,Tee,ambiguo
df_082,img/Crochet-Trimmed_Daisy_Print_Shorts/img_00000017.jpg,Shorts,mujer
df_083,img/Geo_Tribal_Print_Muscle_Tee/img_00000023.jpg,Tee,mujer
df_084,img/Abstract-Stripe_Fuzzy_Sweater/img_00000016.jpg,Sweater,mujer
df_085,img/Abstract_Stripe_Joggers/img_00000019.jpg,Joggers,infantil
df_086,img/Oversized_Boucl&eacute;_Moto_Jacket/img_00000022.jpg,Jacket,mujer
df_087,img/Rhinestone_Beaded_Fuzzy_Sweater/img_00000022.jpg,Sweater,mujer
df_088,img/High_Collar_Running_Jacket/img_00000013.jpg,Jacket,mujer
df_089,img/Buttoned_Drawstring_Joggers/img_00000016.jpg,Joggers,mujer
df_090,img/Flower_Power_Travel_Poncho/img_00000024.jpg,Poncho,mujer
df_091,img/Eagle_Graphic_Macram&eacute;_Tank/img_00000003.jpg,Tank,mujer
df_092,img/Mineral_Wash_Skinny_Jeans/img_00000024.jpg,Jeans,mujer
df_093,img/Tasseled_Open-Knit_Cardigan/img_00000035.jpg,Cardigan,mujer
df_094,img/Boxy_Chiffon_Top/img_00000012.jpg,Top,mujer
df_095,img/Draped_Open-Front_Jacket/img_00000023.jpg,Jacket,mujer
df_096,img/SpongeBob_x_Mina_Kwon_Patrick_Star_Nylon_Hoodie/img_00000008.jpg,Hoodie,mujer
df_097,img/Married_To_The_Mob_Feminist_Tank/img_00000007.jpg,Tank,mujer
df_098,img/Heathered_Frida_Kahlo_Tee/img_00000022.jpg,Tee,mujer
df_099,img/Distressed_Bleach_Wash_Denim_Shorts/img_00000016.jpg,Shorts,mujer
dg_000,img/Be_True_Graphic_Tunic_Tank/img_00000006.jpg,Tank,mujer
dg_001,img/Geo_Elephant_Print_Tee/img_00000021.jpg,Tee,mujer
dg_002,img/MYVL_Woke_Up_Muscle_Tee/img_00000005.jpg,Tee,mujer
dg_003,img/Classic_Slim-Leg_Jeans/img_00000046.jpg,Jeans,mujer
dg_004,img/Wutever_Pocket_Tee/img_00000003.jpg,Tee,mujer
dg_005,img/Drawstring_Palm_Print_Shorts/img_00000003.jpg,Shorts,mujer
dg_006,img/Quilted_Faux_Leather_Jacket/img_00000011.jpg,Jacket,mujer
dg_007,img/Island_Pineapple_Knit_Tee/img_00000006.jpg,Tee,mujer
dg_008,img/Reason_Woke_Up_Like_This_Tee/img_00000006.jpg,Tee,hombre
dg_009,img/Woven_Open-Front_Blazer/img_00000106.jpg,Blazer,mujer
dg_010,img/Patch_Pocket_Denim_Tee/img_00000015.jpg,Tee,mujer
dg_011,img/Sanded_Wash_Denim_Joggers/img_00000022.jpg,Joggers,mujer
dg_012,img/Tasseled_Tribal_Print_Cardigan/img_00000030.jpg,Cardigan,mujer
dg_013,img/Drawstring_Palm_Print_Shorts/img_00000009.jpg,Shorts,mujer
dg_014,img/No_Way_Baseball_Tee/img_00000025.jpg,Tee,mujer
dg_015,img/Contrast-Trimmed_Drawstring_Sweatshorts/img_00000031.jpg,Sweatshorts,mujer
dg_016,img/Faded_Floral_Print_Tank/img_00000005.jpg,Tank,mujer
dg_017,img/Colorblock_Tie-Dye_Tank/img_00000023.jpg,Tank,hombre
dg_018,img/Open-Knit_Cropped_Sweater/img_00000002.jpg,Sweater,mujer
dg_019,img/Open-Front_Multi-Stripe_Cardigan/img_00000011.jpg,Cardigan,mujer
dg_020,img/Striped_Linen-Blend_Shorts/img_00000003.jpg,Shorts,hombre
dg_021,img/High_Collar_Running_Jacket/img_00000040.jpg,Jacket,mujer
dg_022,img/Triangle-Patterned_Slub_Knit_Tee/img_00000019.jpg,Tee,hombre
dg_023,img/Varsity_Dreamer_Graphic_Tee/img_00000016.jpg,Tee,mujer
dg_024,img/Allergic_2_Mornings_Tank/img_00000008.jpg,Tank,mujer
dg_025,img/Classic_Trapeze_Tank/img_00000044.jpg,Tank,mujer
dg_026,img/Slub_Knit_Pocket_Tee/img_00000036.jpg,Tee,mujer
dg_027,img/Colorblock_Performance_Shorts/img_00000026.jpg,Shorts,mujer
dg_028,img/Textured_Knit_Open-Front_Cardigan/img_00000004.jpg,Cardigan,mujer
dg_029,img/Drapey_Mandala_Print_Cardigan/img_00000020.jpg,Cardigan,mujer
dg_030,img/Tribal_Print_Linen_Shorts/img_00000013.jpg,Shorts,mujer
dg_031,img/Married_To_The_Mob_Feminist_Tank/img_00000035.jpg,Tank,mujer
dg_032,img/Patch_Pocket_Denim_Tee/img_00000036.jpg,Tee,hombre
dg_033,img/Heathered_Frida_Kahlo_Tee/img_00000012.jpg,Tee,mujer
dg_034,img/Textured_Boyfriend_Blazer/img_00000096.jpg,Blazer,mujer
dg_035,img/Sky_Culture_Kid_Cloud_Stars_Tee/img_00000007.jpg,Tee,hombre
dg_036,img/Vented_Back_Tank/img_00000009.jpg,Tank,hombre
dg_037,img/Vented_Back_Tank/img_00000004.jpg,Tank,ambiguo
dg_038,img/Micro-Striped_Pocket_Tank/img_00000001.jpg,Tank,mujer
dg_039,img/Classic_Slim-Leg_Jeans/img_00000056.jpg,Jeans,hombre
dg_040,img/Striped_Boxy_Sweater/img_00000020.jpg,Sweater,mujer
dg_041,img/Boho_Suite_Peasant_Top/img_00000018.jpg,Top,mujer
dg_042,img/Flawless_Knit_Tank/img_00000029.jpg,Tank,mujer
dg_043,img/Life_In_Progress_Low-Rise_Skinny_Jeans/img_00000005.jpg,Jeans,mujer
dg_044,img/Fuzzy_Popcorn_Knit_Cardigan/img_00000019.jpg,Cardigan,mujer
dg_045,img/Belted_Open-Knit_Cardigan/img_00000013.jpg,Cardigan,mujer
dg_046,img/Bow-Front_Woven_Top/img_00000017.jpg,Top,mujer
dg_047,img/Bleached_Chambray_Bomber_Jacket/img_00000017.jpg,Jacket,mujer
dg_048,img/Cute_Guys_French_Fries_Tee/img_00000020.jpg,Tee,mujer
dg_049,img/Chiffon-Sleeve_Mesh_Bomber_Jacket/img_00000011.jpg,Jacket,mujer
dg_050,img/Zippered_Longline_Sweater/img_00000039.jpg,Sweater,mujer
dg_051,img/Abstract_Chevron_Print_Top/img_00000019.jpg,Top,mujer
dg_052,img/Marled_Drop-Sleeved_Cardigan/img_00000017.jpg,Cardigan,mujer
dg_053,img/Abstract_Geo-Embroidered_Shorts/img_00000017.jpg,Shorts,mujer
dg_054,img/EPTM._Tribal_Print_Track_Jacket/img_00000018.jpg,Jacket,hombre
dg_055,img/Abstract_Paisley_Button-Down_Top/img_00000011.jpg,Top,mujer
dg_056,img/High-Waist_Denim_Shorts/img_00000019.jpg,Shorts,mujer
dg_057,img/Boxy_Micro-Striped_Tee/img_00000010.jpg,Tee,mujer
dg_058,img/Boxy_Tribal_Print_Top/img_00000034.jpg,Top,mujer
dg_059,img/Collarless_Open-Front_Blazer/img_00000053.jpg,Blazer,mujer
dg_060,img/Collarless_Multi-Knit_Jacket/img_00000026.jpg,Jacket,mujer
dg_061,img/Ribbed_Knit_Cropped_Sweater/img_00000011.jpg,Sweater,mujer
dg_062,img/Allergic_2_Mornings_Tank/img_00000019.jpg,Tank,mujer
dg_063,img/Abstract_Print_Chiffon_Joggers/img_00000003.jpg,Joggers,mujer
dg_064,img/Open-Knit_Cropped_Sweater/img_00000024.jpg,Sweater,mujer
dg_065,img/Eating_Plans_Tee/img_00000002.jpg,Tee,hombre
dg_066,img/Geo_Print_Dolman_Tee/img_00000029.jpg,Tee,mujer
dg_067,img/Quilted_Faux_Leather_Jacket/img_00000003.jpg,Jacket,mujer
dg_068,img/Striped_Hot_Dog_Tee/img_00000001.jpg,Tee,mujer
dg_069,img/Clashist_Roses_Print_Tee/img_00000023.jpg,Tee,mujer
dg_070,img/Faux_Fur_Collared_Zippered_Coat/img_00000018.jpg,Coat,mujer
dg_071,img/Sheer_Moment_Sweater/img_00000019.jpg,Sweater,mujer
dg_072,img/Duo-Stripe_Tee/img_00000025.jpg,Tee,mujer
dg_073,img/Denim_Daze_Ripped_Shorts/img_00000011.jpg,Shorts,mujer
dg_074,img/Embroidered_Floral_Shorts/img_00000005.jpg,Shorts,mujer
dg_075,img/Heathered_Raglan_Sweater/img_00000028.jpg,Sweater,mujer
dg_076,img/Oversized_Boucl&eacute;_Moto_Jacket/img_00000029.jpg,Jacket,mujer
dg_077,img/Eyelash_Knit_Ball_Sweater/img_00000006.jpg,Sweater,mujer
dg_078,img/Contrast-Front_Knit_Sweater/img_00000024.jpg,Sweater,mujer
dg_079,img/Lace-Trim_Chiffon_Tank/img_00000041.jpg,Tank,mujer
dg_080,img/Clean_Wash_-_Ripped_Slim-Leg_Jeans/img_00000017.jpg,Jeans,hombre
dg_081,img/MYVL_Woke_Up_Muscle_Tee/img_00000004.jpg,Tee,mujer
dg_082,img/EPTM._Tribal_Print_Track_Jacket/img_00000019.jpg,Jacket,hombre
dg_083,img/Ribbed_Knit_Sweater_Tank/img_00000012.jpg,Tank,mujer
dg_084,img/Cuffed-Sleeve_Boyfriend_Blazer/img_00000013.jpg,Blazer,mujer
dg_085,img/Fox_Parade_Sweater/img_00000032.jpg,Sweater,mujer
dg_086,img/Abstract-Stripe_Fuzzy_Sweater/img_00000003.jpg,Sweater,mujer
dg_087,img/Ibiza_Muscle_Tee/img_00000004.jpg,Tee,mujer
dg_088,img/Cuffed_Drawstring_Denim_Shorts/img_00000024.jpg,Shorts,mujer
dg_089,img/Palm_Springs_Cropped_Tank/img_00000015.jpg,Tank,mujer
dg_090,img/Heathered_Curved-Hem_Tank/img_00000034.jpg,Tank,hombre
dg_091,img/Mom_Fit_Jeans/img_00000015.jpg,Jeans,mujer
dg_092,img/LEEF_PARIS_Lightning_Graphic_Drawstring_Shorts/img_00000027.jpg,Shorts,mujer
dg_093,img/Boxy_Heathered_Top/img_00000005.jpg,Top,mujer
dg_094,img/Scuba_Knit_Collared_Jacket/img_00000001.jpg,Jacket,mujer
dg_095,img/Control_Sector_Striped_Cotton-Blend_Shorts/img_00000030.jpg,Shorts,mujer
dg_096,img/Textured_Boyfriend_Blazer/img_00000043.jpg,Blazer,mujer
dg_097,img/West_East_Coast_Muscle_Tee/img_00000038.jpg,Tee,mujer
dg_098,img/Crisscross_Cutout_Back_Tee/img_00000026.jpg,Tee,mujer
dg_099,img/Striped_Hot_Dog_Tee/img_00000004.jpg,Tee,mujer
dg_100,img/Dot-Patterned_Tank/img_00000021.jpg,Tank,mujer
dg_101,img/Dotted_Floral_Shorts/img_00000015.jpg,Shorts,mujer
dg_102,img/Boxy_Ribbed_Knit_Top/img_00000019.jpg,Top,mujer
dg_103,img/Mesh_Contrast-Pocket_Tank/img_00000005.jpg,Tank,hombre
dg_104,img/Contrast-Front_Knit_Sweater/img_00000003.jpg,Sweater,mujer
dg_105,img/Striped_Shaggy_Knit_Sweater/img_00000034.jpg,Sweater,mujer
dg_106,img/Shawl_Collar_Geo-Patterned_Cardigan/img_00000012.jpg,Cardigan,mujer
dg_107,img/Clean_Wash_-_Ripped_Slim-Leg_Jeans/img_00000035.jpg,Jeans,hombre
dg_108,img/Collarless_Multi-Knit_Jacket/img_00000040.jpg,Jacket,mujer
dg_109,img/Heathered_Drawstring_Shorts/img_00000012.jpg,Shorts,mujer
dg_110,img/Between_Right_Longline_Tee/img_00000005.jpg,Tee,hombre
dg_111,img/Geo_Pattern_Fringe_Cardigan/img_00000034.jpg,Cardigan,mujer
dg_112,img/Nautical-Striped_Jersey_Tee/img_00000020.jpg,Tee,mujer
dg_113,img/Pinstriped_Denim_Joggers/img_00000011.jpg,Joggers,mujer
dg_114,img/No_Way_Baseball_Tee/img_00000014.jpg,Tee,mujer
dg_115,img/High-Slit_Longline_Jacket/img_00000016.jpg,Jacket,mujer
dg_116,img/Control_Sector_Shard_Print_Tee/img_00000026.jpg,Tee,hombre
dg_117,img/West_Coast_Mesh_Tank/img_00000041.jpg,Tank,mujer
dg_118,img/Heathered_Drawstring_Shorts/img_00000034.jpg,Shorts,mujer
dg_119,img/Abstract_Brushstroke_Pocket_Top/img_00000004.jpg,Top,mujer
dg_120,img/Longline_Tweed_Coat/img_00000041.jpg,Coat,mujer
dg_121,img/DEFYANT_Marble_Print_Mesh_Jersey/img_00000012.jpg,Jersey,hombre
dg_122,img/Ribbed_Side-Slit_Tank/img_00000007.jpg,Tank,mujer
dg_123,img/Standout_Americana_Sweater/img_00000034.jpg,Sweater,mujer
dg_124,img/Prep_School_Varsity_Cardigan/img_00000033.jpg,Cardigan,mujer
dg_125,img/Rope-Drawstring_Swim_Trunks/img_00000008.jpg,Trunks,hombre
dg_126,img/Triangle-Patterned_Slub_Knit_Tee/img_00000023.jpg,Tee,hombre
dg_127,img/Heathered_Split-Neck_Tee/img_00000017.jpg,Tee,hombre
dg_128,img/Minnie_Mouse_Drawstring_Shorts/img_00000030.jpg,Shorts,mujer
dg_129,img/Watercolor_Floral_Print_Shorts/img_00000017.jpg,Shorts,mujer
dg_130,img/DEFYANT_Marble_Logo_Tee/img_00000033.jpg,Tee,mujer
dg_131,img/Nueva_York_Graphic_Tee/img_00000009.jpg,Tee,hombre
dg_132,img/Velveteen_Paisley_Skinny_Jeans/img_00000039.jpg,Jeans,mujer
dg_133,img/Houndstooth_Drawstring_Joggers/img_00000001.jpg,Joggers,mujer
dg_134,img/Classic_Open-Front_Blazer/img_00000002.jpg,Blazer,mujer
dg_135,img/Statement-Making_Twerk_Tee/img_00000030.jpg,Tee,mujer
dg_136,img/Dot-Patterned_Athletic_Tank/img_00000036.jpg,Tank,mujer
dg_137,img/Varsity-Striped_Baseball_Tee/img_00000011.jpg,Tee,mujer
dg_138,img/Abstract-Trimmed_Knit_Tank/img_00000001.jpg,Tank,mujer
dg_139,img/Southwestern_Print_Pocket_Tee/img_00000007.jpg,Tee,hombre
dg_140,img/Semi-Sheer_Scoop-Neck_Tee/img_00000003.jpg,Tee,mujer
dg_141,img/Crochet-Hemmed_Denim_Shorts/img_00000030.jpg,Shorts,mujer
dg_142,img/Heathered_Curved-Hem_Tank/img_00000024.jpg,Tank,hombre
dg_143,img/Open-Front_Duster_Coat/img_00000011.jpg,Coat,mujer
dg_144,img/Mineral_Wash_Athletic-Ribbed_Joggers/img_00000020.jpg,Joggers,mujer
dg_145,img/Semi-Sheer_Scoop-Neck_Tee/img_00000007.jpg,Tee,mujer
dg_146,img/Fringed_Metallic-Threaded_Poncho/img_00000017.jpg,Poncho,mujer
dg_147,img/Easy_Open-Knit_Sweater/img_00000010.jpg,Sweater,mujer
dg_148,img/Van_Halen_Cutout_Muscle_Tee/img_00000004.jpg,Tee,mujer
dg_149,img/Chiffon-Paneled_Peplum_Top/img_00000004.jpg,Top,mujer
dg_150,img/Pleated_Dolman_Tee/img_00000019.jpg,Tee,mujer
dg_151,img/Velveteen_Paisley_Skinny_Jeans/img_00000025.jpg,Jeans,mujer
dg_152,img/Ribbed_Side-Slit_Tank/img_00000020.jpg,Tank,mujer
dg_153,img/Baroque_Print_Woven_Joggers/img_00000026.jpg,Joggers,mujer
dg_154,img/Fox_Parade_Sweater/img_00000012.jpg,Sweater,mujer
dg_155,img/Flower_Power_Travel_Poncho/img_00000002.jpg,Poncho,mujer
dg_156,img/Heathered_Tribal_Print_Hoodie/img_00000019.jpg,Hoodie,hombre
dg_157,img/Layered_Landscape_Print_Tee/img_00000033.jpg,Tee,hombre
dg_158,img/Cute_Guys_French_Fries_Tee/img_00000030.jpg,Tee,mujer
dg_159,img/Pegasus_Graphic_Tee/img_00000005.jpg,Tee,mujer
dg_160,img/Abstract_Print_Colorblock_Top/img_00000042.jpg,Top,mujer
dg_161,img/High-Slit_Longline_Jacket/img_00000017.jpg,Jacket,mujer
dg_162,img/Zippered_Longline_Sweater/img_00000041.jpg,Sweater,mujer
dg_163,img/Led_Zeppelin_Graphic_Tee/img_00000022.jpg,Tee,hombre
dg_164,img/Be_True_Graphic_Tunic_Tank/img_00000011.jpg,Tank,ambiguo
dg_165,img/Heathered_Split-Neck_Tee/img_00000004.jpg,Tee,mujer
dg_166,img/Striped_Ikat_Drawstring_Shorts/img_00000019.jpg,Shorts,mujer
dg_167,img/Free_Spirit_Sweater/img_00000030.jpg,Sweater,mujer
dg_168,img/Curved_Hem_Ribbed_Tank/img_00000027.jpg,Tank,mujer
dg_169,img/Quilted_Scuba_Knit_Shorts/img_00000008.jpg,Shorts,mujer
dg_170,img/Floral_Print_Crochet_Hem_Shorts/img_00000027.jpg,Shorts,mujer
dg_171,img/Classic_Low_Rise_Skinny_Jeans/img_00000019.jpg,Jeans,mujer
dg_172,img/Moon_Graphic_Ringer_Tee/img_00000016.jpg,Tee,mujer
dg_173,img/Longline_Tweed_Coat/img_00000026.jpg,Coat,mujer
dg_174,img/Smocked_Floral_Print_Shorts/img_00000024.jpg,Shorts,mujer
dg_175,img/Contrast-Trimmed_Drawstring_Sweatshorts/img_00000022.jpg,Sweatshorts,hombre
dg_176,img/Faded_Distressed_Jeans/img_00000006.jpg,Jeans,hombre
dg_177,img/Heathered_Striped_Cardigan/img_00000007.jpg,Cardigan,hombre
dg_178,img/Classic_Heathered_Sweater/img_00000025.jpg,Sweater,mujer
dg_179,img/Marled_Ribbed_Knit_Hoodie/img_00000002.jpg,Hoodie,mujer
dg_180,img/Metallic_Open-Knit_Cardigan/img_00000018.jpg,Cardigan,mujer
dg_181,img/Heathered_Knit_Sweatpants/img_00000003.jpg,Sweatpants,hombre
dg_182,img/Boys_Aint_Loyal_Graphic_Tee/img_00000028.jpg,Tee,mujer
dg_183,img/Reverse_French_Terry_Sweatshorts/img_00000024.jpg,Sweatshorts,hombre
dg_184,img/Knit_Open-Front_Blazer/img_00000109.jpg,Blazer,mujer
dg_185,img/Dotted_Flat-Front_Shorts/img_00000004.jpg,Shorts,hombre
dg_186,img/Wild_Cropped_Muscle_Tee/img_00000042.jpg,Tee,mujer
dg_187,img/Distressed_Slub_Knit_Tank/img_00000038.jpg,Tank,mujer
dg_188,img/Nautical-Striped_Jersey_Tee/img_00000018.jpg,Tee,hombre
dg_189,img/Tropical_Hibiscus_Drawstring_Shorts/img_00000024.jpg,Shorts,hombre
dg_190,img/Champagne_Slub_Knit_Top/img_00000001.jpg,Top,mujer
dg_191,img/Longline_Muscle_Tee/img_00000013.jpg,Tee,mujer
dg_192,img/Crisscross_Cutout_Back_Tee/img_00000007.jpg,Tee,mujer
dg_193,img/Open-Front_Linen_Blazer/img_00000068.jpg,Blazer,mujer
dg_194,img/Life_In_Progress_Railroad_Stripe_Jeans/img_00000007.jpg,Jeans,mujer
dg_195,img/Knit_Open-Front_Blazer/img_00000093.jpg,Blazer,mujer
dg_196,img/Life_in_Progress_Denim_Jacket/img_00000021.jpg,Jacket,mujer
dg_197,img/Open-Front_Linen_Blazer/img_00000099.jpg,Blazer,mujer
dg_198,img/Heathered_Colorblock_Pocket_Tank/img_00000016.jpg,Tank,hombre
dg_199,img/Southwestern-Inspired_Cardigan/img_00000005.jpg,Cardigan,mujer
dg_200,img/Cinched_Training_Shorts/img_00000019.jpg,Shorts,mujer
dg_201,img/Boxy_Striped_Knit_Top/img_00000042.jpg,Top,mujer
dg_202,img/Star_Wars_Graphic_Boxy_Tee/img_00000007.jpg,Tee,mujer
dg_203,img/Marled_Knit_Tee/img_00000014.jpg,Tee,mujer
dg_204,img/No_Coffee_Graphic_Tee/img_00000015.jpg,Tee,mujer
dg_205,img/Layered_Bandana_Tee/img_00000018.jpg,Tee,hombre
dg_206,img/L.A.T.H.C._Abstract_Print_Tee/img_00000005.jpg,Tee,hombre
dg_207,img/Cute_Guys_French_Fries_Tee/img_00000040.jpg,Tee,hombre
dg_208,img/Rugby_Striped_Sweater/img_00000006.jpg,Sweater,hombre
dg_209,img/Heathered_Seamless_Workout_Tank/img_00000040.jpg,Tank,mujer
