n,image_path,categoria
df_030,img/Classic_Ribbed_Top/img_00000008.jpg,Top
df_031,img/Marled_Crochet-Paneled_Sweater/img_00000016.jpg,Sweater
df_032,img/Rive_Gauche_Ringer_Tee/img_00000007.jpg,Tee
df_033,img/Life_in_Progress_Denim_Jacket/img_00000002.jpg,Jacket
df_034,img/Longline_V-Neck_Tee/img_00000019.jpg,Tee
df_035,img/Abstract_Striped_Muscle_Tee/img_00000019.jpg,Tee
df_036,img/Pintucked_High-Waisted_Shorts/img_00000042.jpg,Shorts
df_037,img/Colorblock_Performance_Shorts/img_00000018.jpg,Shorts
df_038,img/Boho_Babe_Crochet_Top/img_00000019.jpg,Top
df_039,img/Life_In_Progress_Railroad_Stripe_Jeans/img_00000013.jpg,Jeans
df_040,img/Standout_Americana_Sweater/img_00000018.jpg,Sweater
df_041,img/Distressed_Whisker_Wash_Jeans/img_00000034.jpg,Jeans
df_042,img/MYVL_Woke_Up_Muscle_Tee/img_00000002.jpg,Tee
df_043,img/Faux_Leather-Sleeve_Marled_Jacket/img_00000041.jpg,Jacket
df_044,img/Heathered_Colorblock_Pocket_Tank/img_00000017.jpg,Tank
df_045,img/Hooded_Asymmetrical_Longline_Jacket/img_00000001.jpg,Jacket
df_046,img/Oversized_Boucl&eacute;_Moto_Jacket/img_00000009.jpg,Jacket
df_047,img/Slub_Knit_Pocket_Tee/img_00000001.jpg,Tee
df_048,img/Marled_Knit_Joggers/img_00000011.jpg,Joggers
df_049,img/Abstract_Print_Colorblock_Top/img_00000047.jpg,Top
df_050,img/Abstract_Geo_Crop_Top/img_00000026.jpg,Top
df_051,img/Polka_Dot-Pocket_Cutoffs/img_00000010.jpg,Cutoffs
df_052,img/Boxy_Baseball_Tee/img_00000011.jpg,Tee
df_053,img/Embroidered_Southwestern_Pattern_Jacket/img_00000033.jpg,Jacket
df_054,img/Heathered_Curved-Hem_Tank/img_00000035.jpg,Tank
df_055,img/Heathered_Split-Neck_Tee/img_00000008.jpg,Tee
df_056,img/Southwestern_Print_Dolphin_Shorts/img_00000001.jpg,Shorts
df_057,img/Lacy_Knotted_Tee/img_00000006.jpg,Tee
df_058,img/Boxy_Micro-Striped_Tee/img_00000002.jpg,Tee
df_059,img/Sheer_Moments_Cropped_Tank/img_00000025.jpg,Tank
df_060,img/Austin_Texas_Boxy_Tee/img_00000040.jpg,Tee
df_061,img/Everyday_Open-Knit_Cardigan/img_00000031.jpg,Cardigan
df_062,img/Lacy_Pintucked_PJ_Shorts/img_00000035.jpg,Shorts
df_063,img/Boxy_Striped_Knit_Top/img_00000019.jpg,Top
df_064,img/Patch_Pocket_Denim_Tee/img_00000004.jpg,Tee
df_065,img/Boxy_Baseball_Tee/img_00000027.jpg,Tee
df_066,img/Diamond_Print_Bow_Shorts/img_00000007.jpg,Shorts
df_067,img/Boxy_Tribal_Print_Top/img_00000029.jpg,Top
df_068,img/Cozy_Abstract_Cardigan/img_00000012.jpg,Cardigan
df_069,img/Statement-Making_Twerk_Tee/img_00000020.jpg,Tee
df_070,img/Crochet-Paneled_Shorts/img_00000003.jpg,Shorts
df_071,img/Marled_Tuxedo-Stripe_Joggers/img_00000004.jpg,Joggers
df_072,img/Open-Front_Woven_Blazer/img_00000002.jpg,Blazer
df_073,img/Grunge_Bleached_Denim_Cutoffs/img_00000033.jpg,Cutoffs
df_074,img/Ribbed_Side-Slit_Tank/img_00000025.jpg,Tank
df_075,img/Geo_Striped_Knit_Cardigan/img_00000004.jpg,Cardigan
df_076,img/Heathered_Colorblock_Sweatpants/img_00000010.jpg,Sweatpants
df_077,img/Champagne_Slub_Knit_Top/img_00000008.jpg,Top
df_078,img/Embroidered_Lace-Trimmed_Muscle_Tee/img_00000002.jpg,Tee
df_079,img/Slub_Knit_Boyfriend_Tee/img_00000014.jpg,Tee
df_080,img/Star_Wars_Graphic_Boxy_Tee/img_00000026.jpg,Tee
df_081,img/L.A.T.H.C._Abstract_Print_Tee/img_00000019.jpg,Tee
df_082,img/Crochet-Trimmed_Daisy_Print_Shorts/img_00000017.jpg,Shorts
df_083,img/Geo_Tribal_Print_Muscle_Tee/img_00000023.jpg,Tee
df_084,img/Abstract-Stripe_Fuzzy_Sweater/img_00000016.jpg,Sweater
df_085,img/Abstract_Stripe_Joggers/img_00000019.jpg,Joggers
df_086,img/Oversized_Boucl&eacute;_Moto_Jacket/img_00000022.jpg,Jacket
df_087,img/Rhinestone_Beaded_Fuzzy_Sweater/img_00000022.jpg,Sweater
df_088,img/High_Collar_Running_Jacket/img_00000013.jpg,Jacket
df_089,img/Buttoned_Drawstring_Joggers/img_00000016.jpg,Joggers
df_090,img/Flower_Power_Travel_Poncho/img_00000024.jpg,Poncho
df_091,img/Eagle_Graphic_Macram&eacute;_Tank/img_00000003.jpg,Tank
df_092,img/Mineral_Wash_Skinny_Jeans/img_00000024.jpg,Jeans
df_093,img/Tasseled_Open-Knit_Cardigan/img_00000035.jpg,Cardigan
df_094,img/Boxy_Chiffon_Top/img_00000012.jpg,Top
df_095,img/Draped_Open-Front_Jacket/img_00000023.jpg,Jacket
df_096,img/SpongeBob_x_Mina_Kwon_Patrick_Star_Nylon_Hoodie/img_00000008.jpg,Hoodie
df_097,img/Married_To_The_Mob_Feminist_Tank/img_00000007.jpg,Tank
df_098,img/Heathered_Frida_Kahlo_Tee/img_00000022.jpg,Tee
df_099,img/Distressed_Bleach_Wash_Denim_Shorts/img_00000016.jpg,Shorts
