n,image_path,categoria
dg_054,img/EPTM._Tribal_Print_Track_Jacket/img_00000018.jpg,Jacket
dg_055,img/Abstract_Paisley_Button-Down_Top/img_00000011.jpg,Top
dg_056,img/High-Waist_Denim_Shorts/img_00000019.jpg,Shorts
dg_057,img/Boxy_Micro-Striped_Tee/img_00000010.jpg,Tee
dg_058,img/Boxy_Tribal_Print_Top/img_00000034.jpg,Top
dg_059,img/Collarless_Open-Front_Blazer/img_00000053.jpg,Blazer
dg_060,img/Collarless_Multi-Knit_Jacket/img_00000026.jpg,Jacket
dg_061,img/Ribbed_Knit_Cropped_Sweater/img_00000011.jpg,Sweater
dg_062,img/Allergic_2_Mornings_Tank/img_00000019.jpg,Tank
dg_063,img/Abstract_Print_Chiffon_Joggers/img_00000003.jpg,Joggers
dg_064,img/Open-Knit_Cropped_Sweater/img_00000024.jpg,Sweater
dg_065,img/Eating_Plans_Tee/img_00000002.jpg,Tee
dg_066,img/Geo_Print_Dolman_Tee/img_00000029.jpg,Tee
dg_067,img/Quilted_Faux_Leather_Jacket/img_00000003.jpg,Jacket
dg_068,img/Striped_Hot_Dog_Tee/img_00000001.jpg,Tee
dg_069,img/Clashist_Roses_Print_Tee/img_00000023.jpg,Tee
dg_070,img/Faux_Fur_Collared_Zippered_Coat/img_00000018.jpg,Coat
dg_071,img/Sheer_Moment_Sweater/img_00000019.jpg,Sweater
dg_072,img/Duo-Stripe_Tee/img_00000025.jpg,Tee
dg_073,img/Denim_Daze_Ripped_Shorts/img_00000011.jpg,Shorts
dg_074,img/Embroidered_Floral_Shorts/img_00000005.jpg,Shorts
dg_075,img/Heathered_Raglan_Sweater/img_00000028.jpg,Sweater
dg_076,img/Oversized_Boucl&eacute;_Moto_Jacket/img_00000029.jpg,Jacket
dg_077,img/Eyelash_Knit_Ball_Sweater/img_00000006.jpg,Sweater
dg_078,img/Contrast-Front_Knit_Sweater/img_00000024.jpg,Sweater
dg_079,img/Lace-Trim_Chiffon_Tank/img_00000041.jpg,Tank
dg_080,img/Clean_Wash_-_Ripped_Slim-Leg_Jeans/img_00000017.jpg,Jeans
dg_081,img/MYVL_Woke_Up_Muscle_Tee/img_00000004.jpg,Tee
dg_082,img/EPTM._Tribal_Print_Track_Jacket/img_00000019.jpg,Jacket
dg_083,img/Ribbed_Knit_Sweater_Tank/img_00000012.jpg,Tank
dg_084,img/Cuffed-Sleeve_Boyfriend_Blazer/img_00000013.jpg,Blazer
dg_085,img/Fox_Parade_Sweater/img_00000032.jpg,Sweater
dg_086,img/Abstract-Stripe_Fuzzy_Sweater/img_00000003.jpg,Sweater
dg_087,img/Ibiza_Muscle_Tee/img_00000004.jpg,Tee
dg_088,img/Cuffed_Drawstring_Denim_Shorts/img_00000024.jpg,Shorts
dg_089,img/Palm_Springs_Cropped_Tank/img_00000015.jpg,Tank
dg_090,img/Heathered_Curved-Hem_Tank/img_00000034.jpg,Tank
dg_091,img/Mom_Fit_Jeans/img_00000015.jpg,Jeans
dg_092,img/LEEF_PARIS_Lightning_Graphic_Drawstring_Shorts/img_00000027.jpg,Shorts
dg_093,img/Boxy_Heathered_Top/img_00000005.jpg,Top
dg_094,img/Scuba_Knit_Collared_Jacket/img_00000001.jpg,Jacket
dg_095,img/Control_Sector_Striped_Cotton-Blend_Shorts/img_00000030.jpg,Shorts
dg_096,img/Textured_Boyfriend_Blazer/img_00000043.jpg,Blazer
dg_097,img/West_East_Coast_Muscle_Tee/img_00000038.jpg,Tee
dg_098,img/Crisscross_Cutout_Back_Tee/img_00000026.jpg,Tee
dg_099,img/Striped_Hot_Dog_Tee/img_00000004.jpg,Tee
dg_100,img/Dot-Patterned_Tank/img_00000021.jpg,Tank
dg_101,img/Dotted_Floral_Shorts/img_00000015.jpg,Shorts
dg_102,img/Boxy_Ribbed_Knit_Top/img_00000019.jpg,Top
dg_103,img/Mesh_Contrast-Pocket_Tank/img_00000005.jpg,Tank
dg_104,img/Contrast-Front_Knit_Sweater/img_00000003.jpg,Sweater
dg_105,img/Striped_Shaggy_Knit_Sweater/img_00000034.jpg,Sweater
dg_106,img/Shawl_Collar_Geo-Patterned_Cardigan/img_00000012.jpg,Cardigan
dg_107,img/Clean_Wash_-_Ripped_Slim-Leg_Jeans/img_00000035.jpg,Jeans
dg_108,img/Collarless_Multi-Knit_Jacket/img_00000040.jpg,Jacket
dg_109,img/Heathered_Drawstring_Shorts/img_00000012.jpg,Shorts
dg_110,img/Between_Right_Longline_Tee/img_00000005.jpg,Tee
dg_111,img/Geo_Pattern_Fringe_Cardigan/img_00000034.jpg,Cardigan
dg_112,img/Nautical-Striped_Jersey_Tee/img_00000020.jpg,Tee
dg_113,img/Pinstriped_Denim_Joggers/img_00000011.jpg,Joggers
dg_114,img/No_Way_Baseball_Tee/img_00000014.jpg,Tee
dg_115,img/High-Slit_Longline_Jacket/img_00000016.jpg,Jacket
dg_116,img/Control_Sector_Shard_Print_Tee/img_00000026.jpg,Tee
dg_117,img/West_Coast_Mesh_Tank/img_00000041.jpg,Tank
dg_118,img/Heathered_Drawstring_Shorts/img_00000034.jpg,Shorts
dg_119,img/Abstract_Brushstroke_Pocket_Top/img_00000004.jpg,Top
dg_120,img/Longline_Tweed_Coat/img_00000041.jpg,Coat
dg_121,img/DEFYANT_Marble_Print_Mesh_Jersey/img_00000012.jpg,Jersey
dg_122,img/Ribbed_Side-Slit_Tank/img_00000007.jpg,Tank
dg_123,img/Standout_Americana_Sweater/img_00000034.jpg,Sweater
dg_124,img/Prep_School_Varsity_Cardigan/img_00000033.jpg,Cardigan
dg_125,img/Rope-Drawstring_Swim_Trunks/img_00000008.jpg,Trunks
dg_126,img/Triangle-Patterned_Slub_Knit_Tee/img_00000023.jpg,Tee
dg_127,img/Heathered_Split-Neck_Tee/img_00000017.jpg,Tee
dg_128,img/Minnie_Mouse_Drawstring_Shorts/img_00000030.jpg,Shorts
dg_129,img/Watercolor_Floral_Print_Shorts/img_00000017.jpg,Shorts
dg_130,img/DEFYANT_Marble_Logo_Tee/img_00000033.jpg,Tee
dg_131,img/Nueva_York_Graphic_Tee/img_00000009.jpg,Tee
dg_132,img/Velveteen_Paisley_Skinny_Jeans/img_00000039.jpg,Jeans
dg_133,img/Houndstooth_Drawstring_Joggers/img_00000001.jpg,Joggers
dg_134,img/Classic_Open-Front_Blazer/img_00000002.jpg,Blazer
dg_135,img/Statement-Making_Twerk_Tee/img_00000030.jpg,Tee
dg_136,img/Dot-Patterned_Athletic_Tank/img_00000036.jpg,Tank
dg_137,img/Varsity-Striped_Baseball_Tee/img_00000011.jpg,Tee
dg_138,img/Abstract-Trimmed_Knit_Tank/img_00000001.jpg,Tank
dg_139,img/Southwestern_Print_Pocket_Tee/img_00000007.jpg,Tee
dg_140,img/Semi-Sheer_Scoop-Neck_Tee/img_00000003.jpg,Tee
dg_141,img/Crochet-Hemmed_Denim_Shorts/img_00000030.jpg,Shorts
dg_142,img/Heathered_Curved-Hem_Tank/img_00000024.jpg,Tank
dg_143,img/Open-Front_Duster_Coat/img_00000011.jpg,Coat
dg_144,img/Mineral_Wash_Athletic-Ribbed_Joggers/img_00000020.jpg,Joggers
dg_145,img/Semi-Sheer_Scoop-Neck_Tee/img_00000007.jpg,Tee
dg_146,img/Fringed_Metallic-Threaded_Poncho/img_00000017.jpg,Poncho
dg_147,img/Easy_Open-Knit_Sweater/img_00000010.jpg,Sweater
dg_148,img/Van_Halen_Cutout_Muscle_Tee/img_00000004.jpg,Tee
dg_149,img/Chiffon-Paneled_Peplum_Top/img_00000004.jpg,Top
dg_150,img/Pleated_Dolman_Tee/img_00000019.jpg,Tee
dg_151,img/Velveteen_Paisley_Skinny_Jeans/img_00000025.jpg,Jeans
dg_152,img/Ribbed_Side-Slit_Tank/img_00000020.jpg,Tank
dg_153,img/Baroque_Print_Woven_Joggers/img_00000026.jpg,Joggers
dg_154,img/Fox_Parade_Sweater/img_00000012.jpg,Sweater
dg_155,img/Flower_Power_Travel_Poncho/img_00000002.jpg,Poncho
dg_156,img/Heathered_Tribal_Print_Hoodie/img_00000019.jpg,Hoodie
dg_157,img/Layered_Landscape_Print_Tee/img_00000033.jpg,Tee
dg_158,img/Cute_Guys_French_Fries_Tee/img_00000030.jpg,Tee
dg_159,img/Pegasus_Graphic_Tee/img_00000005.jpg,Tee
dg_160,img/Abstract_Print_Colorblock_Top/img_00000042.jpg,Top
dg_161,img/High-Slit_Longline_Jacket/img_00000017.jpg,Jacket
dg_162,img/Zippered_Longline_Sweater/img_00000041.jpg,Sweater
dg_163,img/Led_Zeppelin_Graphic_Tee/img_00000022.jpg,Tee
dg_164,img/Be_True_Graphic_Tunic_Tank/img_00000011.jpg,Tank
dg_165,img/Heathered_Split-Neck_Tee/img_00000004.jpg,Tee
dg_166,img/Striped_Ikat_Drawstring_Shorts/img_00000019.jpg,Shorts
dg_167,img/Free_Spirit_Sweater/img_00000030.jpg,Sweater
dg_168,img/Curved_Hem_Ribbed_Tank/img_00000027.jpg,Tank
dg_169,img/Quilted_Scuba_Knit_Shorts/img_00000008.jpg,Shorts
dg_170,img/Floral_Print_Crochet_Hem_Shorts/img_00000027.jpg,Shorts
dg_171,img/Classic_Low_Rise_Skinny_Jeans/img_00000019.jpg,Jeans
dg_172,img/Moon_Graphic_Ringer_Tee/img_00000016.jpg,Tee
dg_173,img/Longline_Tweed_Coat/img_00000026.jpg,Coat
dg_174,img/Smocked_Floral_Print_Shorts/img_00000024.jpg,Shorts
dg_175,img/Contrast-Trimmed_Drawstring_Sweatshorts/img_00000022.jpg,Sweatshorts
dg_176,img/Faded_Distressed_Jeans/img_00000006.jpg,Jeans
dg_177,img/Heathered_Striped_Cardigan/img_00000007.jpg,Cardigan
dg_178,img/Classic_Heathered_Sweater/img_00000025.jpg,Sweater
dg_179,img/Marled_Ribbed_Knit_Hoodie/img_00000002.jpg,Hoodie
dg_180,img/Metallic_Open-Knit_Cardigan/img_00000018.jpg,Cardigan
dg_181,img/Heathered_Knit_Sweatpants/img_00000003.jpg,Sweatpants
dg_182,img/Boys_Aint_Loyal_Graphic_Tee/img_00000028.jpg,Tee
dg_183,img/Reverse_French_Terry_Sweatshorts/img_00000024.jpg,Sweatshorts
dg_184,img/Knit_Open-Front_Blazer/img_00000109.jpg,Blazer
dg_185,img/Dotted_Flat-Front_Shorts/img_00000004.jpg,Shorts
dg_186,img/Wild_Cropped_Muscle_Tee/img_00000042.jpg,Tee
dg_187,img/Distressed_Slub_Knit_Tank/img_00000038.jpg,Tank
dg_188,img/Nautical-Striped_Jersey_Tee/img_00000018.jpg,Tee
dg_189,img/Tropical_Hibiscus_Drawstring_Shorts/img_00000024.jpg,Shorts
dg_190,img/Champagne_Slub_Knit_Top/img_00000001.jpg,Top
dg_191,img/Longline_Muscle_Tee/img_00000013.jpg,Tee
dg_192,img/Crisscross_Cutout_Back_Tee/img_00000007.jpg,Tee
dg_193,img/Open-Front_Linen_Blazer/img_00000068.jpg,Blazer
dg_194,img/Life_In_Progress_Railroad_Stripe_Jeans/img_00000007.jpg,Jeans
dg_195,img/Knit_Open-Front_Blazer/img_00000093.jpg,Blazer
dg_196,img/Life_in_Progress_Denim_Jacket/img_00000021.jpg,Jacket
dg_197,img/Open-Front_Linen_Blazer/img_00000099.jpg,Blazer
dg_198,img/Heathered_Colorblock_Pocket_Tank/img_00000016.jpg,Tank
dg_199,img/Southwestern-Inspired_Cardigan/img_00000005.jpg,Cardigan
dg_200,img/Cinched_Training_Shorts/img_00000019.jpg,Shorts
dg_201,img/Boxy_Striped_Knit_Top/img_00000042.jpg,Top
dg_202,img/Star_Wars_Graphic_Boxy_Tee/img_00000007.jpg,Tee
dg_203,img/Marled_Knit_Tee/img_00000014.jpg,Tee
dg_204,img/No_Coffee_Graphic_Tee/img_00000015.jpg,Tee
dg_205,img/Layered_Bandana_Tee/img_00000018.jpg,Tee
dg_206,img/L.A.T.H.C._Abstract_Print_Tee/img_00000005.jpg,Tee
dg_207,img/Cute_Guys_French_Fries_Tee/img_00000040.jpg,Tee
dg_208,img/Rugby_Striped_Sweater/img_00000006.jpg,Sweater
dg_209,img/Heathered_Seamless_Workout_Tank/img_00000040.jpg,Tank
